"gene_id","ensembl_id_clean","entrez_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","direction"
"ENSG00000237063.1","ENSG00000237063",NA,NA,55.7032149339127,1.80457862984272,0.6397914555325,2.82057319496517,0.00479379358841592,0.00998363914002978,"Significant","Upregulated"
"ENSG00000253398.1","ENSG00000253398",NA,NA,6.91209840239731,3.31864442011396,1.17659709626149,2.82054445881143,0.0047942229691085,0.00998414538588882,"Significant","Upregulated"
"ENSG00000271014.1","ENSG00000271014",NA,NA,32.195058296164,2.09392137348991,0.742417521882501,2.8204094216156,0.0047962411848658,0.00998757217824556,"Significant","Upregulated"
"ENSG00000274973.1","ENSG00000274973",NA,NA,80.2335362371057,1.72314300860817,0.610999070166739,2.82020561526867,0.00479928865466821,0.00999352984345413,"Significant","Upregulated"
"ENSG00000250127.1","ENSG00000250127","101928600","LINC02108",18.9004251765836,3.3308143267189,1.18111966679447,2.8200481461448,0.00480164445436318,0.00999726999216128,"Significant","Upregulated"
"ENSG00000275939.1","ENSG00000275939",NA,NA,91.329954708193,1.56685664561611,0.555745906058538,2.81937595677235,0.00481171244207443,0.0100151193566744,"Significant","Upregulated"
"ENSG00000228296.1","ENSG00000228296","474150","TTTY4C",8.59869238719158,5.33627783758698,1.8927774952167,2.81928427988628,0.00481308704894643,0.0100175914065454,"Significant","Upregulated"
"ENSG00000224315.2","ENSG00000224315","644896","RPL7P7",303.140298807941,1.10809200490511,0.393101960937447,2.8188412041054,0.00481973555483407,0.0100298709996764,"Significant","Upregulated"
"ENSG00000205625.2","ENSG00000205625",NA,NA,5.27230142737228,4.62762595183884,1.64175071317422,2.81871414137633,0.00482164370784086,0.0100326731476397,"Significant","Upregulated"
"ENSG00000228876.1","ENSG00000228876",NA,NA,9.24531095418822,5.44052703387163,1.93043177897535,2.81829541614747,0.00482793671492689,0.0100449873602905,"Significant","Upregulated"
"ENSG00000279625.1","ENSG00000279625",NA,NA,4.51736032823304,3.79911803952056,1.34843701832929,2.81742342273253,0.00484106573280378,0.0100699578773645,"Significant","Upregulated"
"ENSG00000224967.1","ENSG00000224967",NA,NA,178.988594518058,1.19482698814239,0.42409512662834,2.81735609093543,0.00484208084456984,0.0100716785027047,"Significant","Upregulated"
