"gene_id","ensembl_id_clean","entrez_id","gene_symbol","logFC","logCPM","LR","PValue","FDR","significance","direction"
"ENSG00000227719.1","ENSG00000227719",NA,NA,1.3073296403078,0.592738517443643,95.9108649949546,1.20174054320875e-22,1.04630161984406e-21,"Significant","Upregulated"
"ENSG00000248347.3","ENSG00000248347",NA,NA,5.55578942751708,-1.92414240033346,95.9048379968474,1.20540457193328e-22,1.04912995645444e-21,"Significant","Upregulated"
"ENSG00000137441.7","ENSG00000137441","83888","FGFBP2",-1.95441404812489,1.09258778527369,95.7535449996643,1.30113305649477e-22,1.13166753508221e-21,"Significant","Downregulated"
"ENSG00000142207.6","ENSG00000142207","9875","URB1",1.04759346474146,5.62877768867861,95.7362277555453,1.31256432759019e-22,1.14082398304044e-21,"Significant","Upregulated"
"ENSG00000232882.1","ENSG00000232882",NA,NA,1.40869086777948,0.267724907631983,95.726020000654,1.31934956078892e-22,1.14593247541656e-21,"Significant","Upregulated"
"ENSG00000249379.1","ENSG00000249379","105375095","GCLC-AS1",3.32264800925063,-0.943197640713476,95.7134206874035,1.32777289020038e-22,1.15285205311793e-21,"Significant","Upregulated"
"ENSG00000198018.6","ENSG00000198018","57089","ENTPD7",1.15677557234524,3.68985135924513,95.7111879028838,1.32927122964408e-22,1.15375624878939e-21,"Significant","Upregulated"
"ENSG00000100253.12","ENSG00000100253","55586","MIOX",4.4281356642617,0.250249916963156,95.6654316767897,1.36035173213776e-22,1.18032717816998e-21,"Significant","Upregulated"
"ENSG00000121895.7","ENSG00000121895","80008","TMEM156",2.43418150614878,2.46023427465363,95.557153508346,1.43682720062772e-22,1.24582589246735e-21,"Significant","Upregulated"
"ENSG00000065618.18","ENSG00000065618","1308","COL17A1",4.16255958664131,5.76495271362823,95.5512936104581,1.44108651133025e-22,1.24909005576991e-21,"Significant","Upregulated"
"ENSG00000079393.20","ENSG00000079393","51207","DUSP13B",6.1205876961289,0.967681939974276,95.535244242385,1.45281688660318e-22,1.258825448519e-21,"Significant","Upregulated"
"ENSG00000131668.13","ENSG00000131668","56033","BARX1",7.50068349623165,3.62232478834654,95.4979514600348,1.48044404175748e-22,1.2823235543854e-21,"Significant","Upregulated"
"ENSG00000203650.8","ENSG00000203650","101928287","LINC01285",3.27391776363687,0.497893280888353,95.4896478988097,1.48666664428616e-22,1.28718165328672e-21,"Significant","Upregulated"
"ENSG00000232677.6","ENSG00000232677","100506930","LINC00665",2.22674926023114,4.22411667074144,95.4432710303656,1.52190517065994e-22,1.31642972435741e-21,"Significant","Upregulated"
"ENSG00000183036.10","ENSG00000183036","5121","PCP4",5.31261074111859,3.71242084872508,95.4122732785926,1.54592278546699e-22,1.33674672637863e-21,"Significant","Upregulated"
"ENSG00000253336.1","ENSG00000253336","392266","LOC392266",-1.04418029241589,-1.75208157142623,95.372399048297,1.57737638668852e-22,1.36347745249909e-21,"Significant","Downregulated"
"ENSG00000166359.10","ENSG00000166359","126248","WDR88",1.41739267386001,-1.00654593450013,95.3324144325413,1.60955983003914e-22,1.39082053896845e-21,"Significant","Upregulated"
"ENSG00000151012.13","ENSG00000151012","23657","SLC7A11",2.99282720290751,5.21496276205538,95.3274526148032,1.61359911318152e-22,1.39383386961068e-21,"Significant","Upregulated"
"ENSG00000249626.1","ENSG00000249626",NA,NA,1.79732111338654,0.63514163026818,95.1947076386467,1.72550968194408e-22,1.48948355416773e-21,"Significant","Upregulated"
"ENSG00000064886.13","ENSG00000064886","1117","CHI3L2",-1.80327246412555,4.33703235514323,95.1748226069927,1.74292956884968e-22,1.50400644852651e-21,"Significant","Downregulated"
"ENSG00000169439.11","ENSG00000169439","6383","SDC2",-1.16544136139118,5.58843085038762,95.0975937252936,1.8122688496748e-22,1.56277241070488e-21,"Significant","Downregulated"
"ENSG00000152760.9","ENSG00000152760","200132","DYNLT5",-1.71081289710422,0.452383839123884,95.0804330928595,1.8280472379288e-22,1.5753025498452e-21,"Significant","Downregulated"
"ENSG00000100012.11","ENSG00000100012","266629","SEC14L3",-3.13807048664134,-0.0614900395941914,95.0676811697365,1.83986094770103e-22,1.5844014006993e-21,"Significant","Downregulated"
"ENSG00000282804.1","ENSG00000282804",NA,NA,-1.64915624999119,-0.848723792701026,95.0388990773354,1.86680686583547e-22,1.60651010754873e-21,"Significant","Downregulated"
"ENSG00000120162.9","ENSG00000120162","79817","MOB3B",-1.1035543683823,3.94976628306684,94.9468758802271,1.95563643201009e-22,1.68238038404847e-21,"Significant","Downregulated"
"ENSG00000276772.1","ENSG00000276772",NA,NA,-2.1954067505327,-2.00233463659477,94.8786348566873,2.02422817923385e-22,1.73960928479113e-21,"Significant","Downregulated"
"ENSG00000111641.11","ENSG00000111641","4839","NOP2",1.01826124206958,5.22958836746977,94.8742902025452,2.02867576213227e-22,1.74224606524074e-21,"Significant","Upregulated"
"ENSG00000196581.10","ENSG00000196581","55966","AJAP1",-1.89631308554079,-0.316714162618332,94.8679480448442,2.03518572502304e-22,1.74724258317262e-21,"Significant","Downregulated"
"ENSG00000238247.2","ENSG00000238247","100132076","RDXP3",-1.07765921219084,0.177543911952167,94.8335365373371,2.07087369776553e-22,1.77727702225975e-21,"Significant","Downregulated"
"ENSG00000232434.2","ENSG00000232434","389813","AJM1",1.4242344170123,2.14584796997599,94.8259570569483,2.07881807013495e-22,1.78348887029689e-21,"Significant","Upregulated"
"ENSG00000185203.12","ENSG00000185203","100128260","WASIR1",3.04241291557398,-1.52859270178595,94.8048973652997,2.10105199847609e-22,1.80195183116585e-21,"Significant","Upregulated"
"ENSG00000166105.15","ENSG00000166105","112937","GLB1L3",5.16053778500735,4.16947340059273,94.7982986162708,2.10806749813178e-22,1.80735471172595e-21,"Significant","Upregulated"
"ENSG00000184374.2","ENSG00000184374","10584","COLEC10",-2.24679664282166,-0.901077433848715,94.7956161949387,2.11092602410572e-22,1.80919114672931e-21,"Significant","Downregulated"
"ENSG00000143196.4","ENSG00000143196","1805","DPT",-1.5384437509878,4.60004719681915,94.7354143328997,2.17611008245733e-22,1.86316051108732e-21,"Significant","Downregulated"
"ENSG00000167702.11","ENSG00000167702","90990","KIFC2",1.71598988233993,4.6433167939269,94.5427367309921,2.39857598496154e-22,2.04977693392736e-21,"Significant","Upregulated"
"ENSG00000225880.5","ENSG00000225880",NA,NA,1.33664810997739,-0.0659968389918781,94.5424339774194,2.39894286496707e-22,2.04977693392736e-21,"Significant","Upregulated"
"ENSG00000010438.16","ENSG00000010438","5646","PRSS3",5.13478087587567,1.68576013813136,94.520677530794,2.42545503651864e-22,2.07172916837142e-21,"Significant","Upregulated"
"ENSG00000225774.2","ENSG00000225774",NA,NA,-1.35327384810591,-0.868144103213833,94.5067865183355,2.44253556331392e-22,2.08561313622296e-21,"Significant","Downregulated"
"ENSG00000112936.18","ENSG00000112936","730","C7",-1.85831701972217,6.58856208966534,94.4538173403351,2.50877837235154e-22,2.13928217235745e-21,"Significant","Downregulated"
"ENSG00000137941.16","ENSG00000137941","79739","TTLL7",-1.59376541042057,2.746751276819,94.3935580837923,2.58632570592621e-22,2.20466366471745e-21,"Significant","Downregulated"
"ENSG00000128039.10","ENSG00000128039","79644","SRD5A3",1.54611668107539,6.07965020489621,94.3876775860142,2.59402051178317e-22,2.2104766757345e-21,"Significant","Upregulated"
"ENSG00000163131.10","ENSG00000163131","1520","CTSS",-1.01313896601354,7.96400689781775,94.37332936981,2.61289181334299e-22,2.22580652480085e-21,"Significant","Downregulated"
"ENSG00000197870.12","ENSG00000197870","5544","PRB3",5.5034756803602,1.23092759796425,94.3439006900002,2.65202823867121e-22,2.25762174639951e-21,"Significant","Upregulated"
"ENSG00000179528.15","ENSG00000179528","85474","LBX2",1.14045699022076,1.44798914522023,94.24115192157,2.79332588045145e-22,2.37710431936362e-21,"Significant","Upregulated"
"ENSG00000251138.6","ENSG00000251138","100507377","LINC02882",6.71976009703246,-0.34958029095458,94.2197045772127,2.82375662833801e-22,2.40219107509793e-21,"Significant","Upregulated"
"ENSG00000166557.12","ENSG00000166557","23423","TMED3",1.1183334631559,6.90778118284119,94.1431980427034,2.93503497298375e-22,2.49517501794164e-21,"Significant","Upregulated"
"ENSG00000173702.7","ENSG00000173702","56667","MUC13",5.88138681080522,5.68515670532903,94.062201107532,3.05762816446889e-22,2.59852081873696e-21,"Significant","Upregulated"
"ENSG00000233822.4","ENSG00000233822","8341","H2BC15",1.99380821349044,1.48110524306405,94.0515590448729,3.07411165243654e-22,2.60989391769907e-21,"Significant","Upregulated"
"ENSG00000108405.3","ENSG00000108405","5023","P2RX1",-1.29652586677163,1.85377464522854,94.0110357191048,3.13769592869962e-22,2.66208617284062e-21,"Significant","Downregulated"
"ENSG00000186007.9","ENSG00000186007","93273","LEMD1",2.76437477271408,1.83905117910754,93.981028870008,3.18562519572078e-22,2.70184247788895e-21,"Significant","Upregulated"
"ENSG00000255559.1","ENSG00000255559","286103","ZNF252P-AS1",1.38148657479008,-0.872090217116629,93.9424519796834,3.2483206344126e-22,2.75409159497259e-21,"Significant","Upregulated"
"ENSG00000182985.17","ENSG00000182985","23705","CADM1",-1.44336862893508,6.70150044829364,93.9148634813992,3.293913166697e-22,2.79087293778297e-21,"Significant","Downregulated"
"ENSG00000117407.16","ENSG00000117407","9048","ARTN",2.68695986302099,0.983538661544849,93.8198590201621,3.45587025662768e-22,2.92319156146038e-21,"Significant","Upregulated"
"ENSG00000222047.8","ENSG00000222047","414236","C10orf55",2.45479950220788,4.2134789288903,93.7737992189909,3.53723292780725e-22,2.99101119203634e-21,"Significant","Upregulated"
"ENSG00000146674.14","ENSG00000146674","3486","IGFBP3",2.08999432027678,8.14693064342227,93.7471245352762,3.5852258459205e-22,3.03057808448767e-21,"Significant","Upregulated"
"ENSG00000253215.1","ENSG00000253215",NA,NA,7.05146070605822,2.15401885476478,93.6719854125794,3.72394582982508e-22,3.14362782538461e-21,"Significant","Upregulated"
"ENSG00000267077.1","ENSG00000267077",NA,NA,1.84669618154435,3.79689201840863,93.6191707710573,3.82465169094599e-22,3.22540516181347e-21,"Significant","Upregulated"
"ENSG00000260328.1","ENSG00000260328",NA,NA,3.34005377400075,-0.25649709601873,93.6025232062088,3.85695610201741e-22,3.25156209081261e-21,"Significant","Upregulated"
"ENSG00000160813.6","ENSG00000160813","221908","PPP1R35",1.22602519769342,3.962710559936,93.5448989647142,3.97089723168523e-22,3.34426898608473e-21,"Significant","Upregulated"
"ENSG00000179094.15","ENSG00000179094","5187","PER1",-1.26759282467512,6.65728315528084,93.5341388800487,3.99254336204756e-22,3.36137803762384e-21,"Significant","Downregulated"
